Fp1,Fp2,F3,F4,C3,C4
-1.73428,0.43008,2.01128,1.95037,0.75648,0.03394
-1.76612,0.31679,1.81161,2.09285,0.39793,-0.04324
-1.60459,0.34726,2.11223,2.24049,0.36345,-0.25320
-1.42812,0.46811,2.17366,2.15913,0.54681,-0.17690
-1.36015,0.49820,2.14633,1.93663,0.18553,-0.23391
-1.54013,0.32366,1.93416,1.91424,0.05655,-0.82062
-1.82190,0.46709,2.03302,1.79001,-0.15527,-0.67431
-1.44325,0.68643,2.39885,1.74990,-0.06003,-0.80758
-1.48115,0.98900,2.53041,1.61184,0.04881,-0.82760
-1.48925,0.86326,2.56870,1.78655,0.02359,-0.63773
-1.37880,0.86672,2.35133,1.39427,-0.15160,-0.98295
-1.33440,0.97786,2.42961,1.54632,-0.41009,-1.23130
-1.36945,0.90726,2.24402,1.38780,-0.69127,-1.19620
-0.92138,1.16755,2.65821,1.70115,-0.26926,-1.39985
-1.00024,1.18934,2.73919,1.95789,-0.43474,-1.49083
-1.09307,1.08076,2.58206,1.81553,-0.73279,-1.81786
-1.25742,0.99836,2.14722,1.42643,-1.18974,-2.19248
-1.10785,1.22564,2.40651,1.25384,-1.43308,-2.34381
-0.93909,1.31623,2.35502,1.35114,-1.14813,-2.10888
-0.63485,1.45265,2.63896,1.65464,-1.52012,-2.20726
-0.86685,1.51580,2.49440,1.18483,-1.76678,-2.50490
-0.99608,1.45289,2.38358,0.94432,-1.97298,-2.57963
-0.65245,1.56686,2.55188,0.73621,-2.00380,-2.76506
-0.71330,1.80647,2.58402,0.98308,-2.21640,-2.59380
-0.52686,2.01018,2.71307,0.70097,-2.01696,-2.28691
-0.22110,1.86363,2.44224,0.78869,-2.30279,-2.52967
-0.46607,1.80231,2.11168,0.26455,-2.55807,-2.50221
-0.28594,1.86384,2.41536,0.45471,-2.39925,-2.76047
0.11639,2.32754,2.10613,0.17012,-2.53288,-2.72992
0.26623,2.08586,2.23388,0.21580,-2.38206,-2.46732
0.03604,2.32882,2.09791,0.01233,-2.80068,-2.70963
0.01508,1.98035,2.15215,-0.43233,-2.63711,-2.77087
0.21551,2.27225,2.04841,-0.61543,-2.96133,-2.90143
0.54659,2.28736,2.04860,-0.66522,-2.72400,-2.47829
0.63525,2.64935,2.18285,-0.72151,-2.66918,-2.44844
0.60962,2.57547,1.96941,-0.95429,-2.68400,-2.40953
0.46495,2.71077,1.91473,-1.00046,-2.56613,-2.30898
0.92907,2.66089,1.71104,-1.10077,-2.89156,-2.64454
1.22228,2.61787,1.72620,-1.14179,-2.58803,-2.17191
1.33824,2.70584,1.41350,-1.17559,-2.38755,-2.29237
1.34945,2.55074,1.14588,-1.31364,-2.45415,-2.41652
1.37846,2.31545,1.11662,-1.35392,-2.54619,-2.66252
1.47557,2.04216,0.54859,-1.70067,-2.67191,-2.64713
1.50777,2.20672,0.51656,-1.47302,-2.53397,-2.66470
1.48640,2.31312,0.81064,-1.37516,-2.53517,-2.42612
1.72930,2.52361,0.63554,-1.53318,-2.54968,-2.36204
1.77576,2.04245,0.46333,-1.78021,-2.74150,-2.57247
1.67390,1.87251,0.25813,-1.97039,-2.81048,-2.60348
1.65724,1.96072,0.08855,-2.30455,-2.44908,-2.43508
1.78797,1.90945,0.30473,-2.08951,-2.63251,-2.30312
1.79781,1.88433,-0.08905,-1.89949,-2.31120,-2.32475
1.71103,1.90299,-0.28143,-2.15462,-2.72105,-2.54293
1.68739,1.54269,-0.48210,-2.47834,-2.47387,-2.55208
1.86486,1.64724,-0.34996,-2.25370,-2.64787,-2.72440
1.74602,1.57758,-0.27648,-2.03500,-2.33459,-2.29255
1.76559,1.44419,-0.48605,-2.37771,-2.40461,-2.45047
1.64386,1.12652,-0.54820,-2.28246,-2.88732,-2.66730
1.55873,1.31215,-0.46922,-2.42104,-2.73222,-2.58144
1.29717,1.31671,-0.60300,-2.38410,-2.79061,-2.31396
1.74067,1.63842,-0.42757,-2.39599,-2.46346,-2.04741
1.76466,1.52688,-0.30842,-2.41696,-2.53522,-2.19036
1.57548,1.38894,-0.42594,-2.40845,-2.77018,-2.30491
1.67241,1.21881,-0.87994,-2.57369,-2.68368,-2.40999
1.72906,1.34610,-0.67707,-2.47847,-2.39411,-1.96668
2.14409,1.45217,-0.85051,-2.30170,-2.40546,-1.79534
2.21678,1.41017,-0.55575,-2.26000,-1.96518,-1.76898
2.04283,1.44491,-1.04574,-2.31072,-2.10177,-1.98682
1.69727,1.17995,-1.15775,-2.56698,-2.57523,-1.86061
1.90215,0.97030,-1.31342,-2.62735,-2.54285,-2.11541
2.06671,1.00852,-1.34410,-2.33330,-2.25241,-1.81684
2.10062,1.00533,-0.94128,-2.35424,-2.16243,-1.62390
1.99676,0.84071,-1.13623,-2.60420,-2.29280,-1.27126
1.99260,0.99442,-1.60089,-2.88107,-2.19684,-1.27205
1.84951,0.89436,-1.63182,-2.78913,-2.21539,-1.50283
2.25285,0.98543,-1.41493,-2.74144,-1.81016,-0.86810
2.31806,0.90320,-1.58653,-2.85635,-1.79097,-0.85983
2.05740,0.60715,-1.83573,-2.89291,-1.58242,-0.55754
2.27018,0.53613,-2.08478,-3.16170,-1.46697,-0.60607
1.98760,0.51760,-2.11545,-3.07998,-1.67344,-0.43956
2.03172,0.39075,-2.28061,-2.81127,-1.35129,-0.19162
2.25540,0.31077,-2.13349,-2.82335,-1.06399,-0.12423
2.13572,0.00754,-2.50134,-2.89217,-1.12887,-0.30234
1.99637,-0.12560,-2.52779,-3.27721,-1.32793,-0.03827
1.77493,-0.39685,-2.36877,-3.15266,-1.07383,-0.19011
1.88290,-0.28725,-2.59452,-2.94707,-0.68310,0.23385
2.15248,-0.03464,-2.30509,-2.99748,-0.56259,0.75776
1.78368,-0.41732,-2.24655,-2.80428,-0.19562,0.72126
1.56134,-0.66846,-2.85926,-3.21668,-0.45822,0.43171
1.59446,-0.86926,-2.80608,-3.09591,-0.01308,0.63772
1.87555,-0.72343,-2.68263,-2.75779,-0.08351,0.82120
2.08548,-0.68725,-2.68331,-2.56869,0.41810,1.13398
2.04520,-0.85361,-2.82095,-2.09340,0.40866,0.98032
1.72490,-1.07883,-3.18826,-2.08437,0.51018,0.75670
1.20284,-1.55945,-3.46800,-2.12049,0.47520,0.74162
1.37403,-1.45819,-3.29111,-2.29579,0.56213,0.73623
1.41286,-1.57479,-3.03887,-1.75457,0.46445,0.86007
1.27093,-1.58045,-2.80797,-1.79215,0.87511,0.98328
1.01089,-1.61526,-2.93900,-1.72101,0.68700,0.99578
0.56792,-1.85750,-2.91733,-1.91023,0.62108,1.10465
0.65723,-1.74718,-3.12947,-1.68022,0.80035,0.87721
0.76624,-1.72542,-2.73653,-1.31296,1.00882,1.36834
0.53299,-1.98896,-2.96371,-1.07603,1.13639,1.43268
0.37838,-1.99181,-2.73779,-1.39207,0.87791,1.28972
0.21570,-2.27096,-3.04857,-1.32981,1.10925,1.36477
0.12574,-2.30689,-2.94467,-1.12830,0.82918,1.09519
0.09761,-2.11865,-2.46282,-0.85427,1.16685,1.60204
-0.06491,-2.09279,-2.58981,-0.49334,1.15488,1.72791
-0.38199,-2.35626,-2.36721,-0.78605,1.15747,1.33070
-0.25723,-2.46893,-2.71485,-0.78525,0.77764,1.45783
-0.48907,-2.36682,-2.30477,-0.66644,1.11256,1.66971
-0.23192,-2.25422,-1.98434,-0.28907,1.25915,2.01425
-0.16776,-1.90593,-1.81038,-0.36944,1.40921,1.99136
-0.36988,-1.86197,-1.97700,-0.34681,1.65232,2.02478
-0.46784,-2.12427,-2.04660,-0.55086,1.27773,2.23212
-0.71352,-2.15579,-1.88443,-0.47020,1.57477,2.29225
-0.46831,-1.90192,-1.61597,-0.04108,2.01250,2.29056
-0.10822,-1.83093,-1.80325,0.44712,2.20115,2.54509
-0.34728,-1.99329,-1.83949,0.22929,2.03530,2.41377
-0.58743,-2.10744,-1.76904,0.11670,2.01073,2.47527
-0.58357,-2.16014,-1.82069,0.03431,1.82579,2.19524
-0.82203,-2.11914,-1.85210,0.24491,2.26965,2.48023
-0.38558,-1.93123,-1.47887,0.68584,2.42377,2.74627
-0.60652,-2.10708,-1.59021,0.51686,2.27548,2.60070
-0.85431,-2.43999,-1.59884,0.33195,2.39687,2.59006
-0.78822,-2.38935,-1.55660,0.30513,2.35876,2.48334
-0.96117,-2.21567,-1.42280,0.38424,2.39349,2.80359
-0.98173,-2.07472,-1.49287,0.92628,2.69957,2.80060
-0.68710,-2.12385,-1.44015,0.72222,2.53529,3.01123
-1.01251,-2.32590,-1.45558,0.92627,2.81609,2.92237
-1.28229,-2.67572,-1.40997,0.96470,2.69011,2.61106
-1.25066,-2.57684,-1.56554,1.29618,2.96420,2.83465
-1.12554,-2.60107,-1.26925,1.39006,2.74677,2.73800
-1.41538,-2.47020,-1.06706,1.48215,2.66780,2.53847
-1.66690,-2.72763,-1.30696,1.43943,2.80778,2.52105
-2.03006,-2.83589,-1.16725,1.19682,2.59959,2.40762
-1.99435,-2.44436,-0.85507,1.62154,2.75892,2.35587
-1.91066,-2.24195,-0.59026,1.79059,2.82921,2.77335
-1.89546,-2.19199,-0.17266,1.68487,2.94417,2.74921
-1.97834,-2.21099,-0.59442,1.63923,2.74704,2.44212
-2.28450,-2.48338,-0.48954,1.75741,2.67474,2.23211
-2.05681,-2.21707,-0.22505,2.08798,2.80258,2.23163
-1.91775,-2.04011,-0.03373,2.36137,2.84896,2.15546
-1.88460,-1.75150,0.09943,2.77481,2.82677,2.23647
-2.14056,-2.02826,0.19535,2.82268,2.93903,1.78513
-2.19489,-2.12124,0.05128,2.53859,2.28524,1.76027
-2.53606,-2.04321,0.12043,2.84489,2.27485,1.64755
-2.42165,-2.09239,0.65698,2.96514,2.30400,1.40250
-2.25373,-1.76034,0.67737,3.25025,2.44661,1.60925
-2.24463,-1.72912,1.03230,2.91316,2.25529,1.35000
-2.58483,-1.77005,0.77648,2.65999,2.05993,1.37282
-2.48930,-1.52095,1.05879,2.84179,1.78800,1.18118
-2.24265,-1.46271,1.21194,3.00690,1.98600,1.52393
-2.28930,-0.94209,1.39477,3.20824,1.79589,1.43933
-2.20894,-0.88089,1.34733,3.02593,1.84624,1.41246
-2.34557,-1.13996,1.29108,3.13737,1.68990,1.07805
-2.28623,-1.13359,1.57908,2.83891,1.59190,0.87279
-2.35222,-0.65658,1.73435,2.95618,1.70493,1.07498
-2.15886,-0.57948,2.02143,3.28665,1.37629,0.97604
-2.26323,-0.63090,1.93202,2.95443,1.36689,0.96500
-2.46116,-0.62770,2.02356,2.51552,1.02099,0.76495
-2.54781,-0.56778,2.09584,2.79842,0.97232,0.80704
-2.11013,-0.15359,2.33649,2.71180,1.21841,0.97363
-1.77296,0.23107,2.61249,2.79720,1.34118,1.08819
-1.88216,0.30704,2.32340,2.54378,1.29057,1.16797
-1.80540,0.06742,2.43472,2.28489,1.15043,0.65825
-1.73328,0.24368,2.20887,2.19447,1.20410,0.76506
-1.58619,0.46477,2.42833,2.57846,1.29426,0.88097
-1.40005,0.73621,2.73881,2.68837,1.50381,0.73073
-1.08749,0.74306,2.41674,2.56080,1.46137,0.74089
-1.53335,0.61846,2.20340,2.32362,1.11238,0.27490
-1.38355,0.41927,2.04736,2.20953,0.99682,0.17539
-1.42295,0.41382,2.06028,2.58081,0.93806,0.11849
-1.31426,0.60965,2.31354,2.39246,0.77044,0.00828
-1.30257,0.91703,2.47096,2.28872,0.90138,0.00682
-1.16711,0.86599,2.57479,2.05120,0.42622,-0.28203
-1.20048,0.89629,2.20380,2.01831,0.41564,-0.25606
-1.19880,0.83620,2.41899,2.09290,0.39210,-0.36919
-1.08507,1.14718,2.47408,2.31625,0.37309,-0.22010
-0.93500,1.16509,2.72132,2.04004,0.31203,-0.44429
-1.02061,0.92221,2.29782,1.88116,0.32131,-0.62531
-1.03403,0.98822,2.43077,2.09765,0.11518,-0.78703
-0.91138,1.11048,2.54262,2.16570,0.05260,-0.88670
-0.91310,1.19790,2.70100,2.30139,-0.27632,-1.16419
-1.12301,1.28674,2.65175,1.96407,-0.08277,-1.10958
-0.96161,1.09329,2.44000,1.94573,-0.62561,-1.24370
-1.08069,1.18645,2.65193,1.67829,-0.83935,-1.67883
-0.87853,1.34094,2.63722,1.71931,-0.98255,-1.49885
-0.88109,1.62517,3.06587,1.77036,-0.75230,-1.40464
-0.50931,1.70339,3.09818,1.70831,-0.78476,-1.34535
-0.60879,1.77487,3.19070,1.45322,-0.91810,-1.71251
-0.75440,1.93732,2.72498,1.26120,-1.23046,-1.71008
-0.63557,1.86836,2.75354,1.53690,-1.15857,-1.80635
-0.37225,2.37509,3.01346,1.71627,-1.14699,-1.91782
0.19401,2.36751,3.16398,1.77538,-1.27263,-1.76917
-0.07083,2.35175,2.94466,1.46066,-1.34897,-1.93352
-0.27702,2.41046,2.82184,1.20724,-1.74327,-2.38538
0.08996,2.46883,2.52197,0.94256,-1.90891,-2.36820
0.14295,2.33410,2.93956,1.06229,-1.94536,-2.08812
0.33966,2.70938,3.02010,1.17861,-1.98502,-2.23364
0.59875,2.77821,2.81374,0.63686,-1.81057,-2.12442
0.59464,2.76831,2.70775,0.40966,-2.29365,-2.48083
0.37001,2.83338,2.57591,0.10765,-2.11569,-2.27558
0.66938,2.85517,2.64709,0.31051,-2.36782,-2.26484
0.97840,3.15059,2.47754,0.20370,-2.24489,-2.01450
1.32402,2.93821,2.48185,0.17649,-2.17872,-1.96688
1.09801,3.02712,2.08590,-0.15565,-2.34788,-2.08518
1.03510,2.85944,1.83384,-0.37277,-2.43287,-2.14415
1.30538,2.86681,2.00984,-0.35679,-2.05706,-1.90686
1.68748,2.90800,2.14214,-0.51603,-1.94670,-2.02034
1.49535,2.86086,1.86281,-0.65595,-2.13749,-1.95680
1.33402,2.64458,1.59858,-1.02102,-2.35198,-2.12473
1.60017,2.58783,1.60836,-1.39268,-2.43231,-2.03393
1.47552,2.69095,1.51456,-1.29559,-2.28002,-1.96664
2.00693,3.17524,1.52087,-1.31849,-2.10923,-1.76155
1.78682,2.83266,1.42943,-1.43565,-2.09939,-1.79742
1.70359,2.84474,1.12585,-1.45906,-2.17824,-2.10750
2.01424,2.52278,0.98436,-1.56829,-2.28239,-1.97273
2.23703,2.66667,1.09091,-1.61972,-1.79797,-1.89626
2.28970,2.96820,0.91044,-1.20915,-1.75574,-1.53356
2.27453,2.86031,0.80055,-1.48638,-1.57942,-1.77660
2.22080,2.32364,0.28346,-1.41106,-1.87648,-2.08065
2.17699,2.24305,0.26910,-1.65821,-2.07944,-2.24121
2.25277,1.91504,0.03030,-1.77351,-2.13719,-2.22000
2.21495,2.11015,0.13408,-1.77512,-1.85243,-2.01595
2.11868,2.37196,0.40976,-1.52116,-1.98394,-2.09957
2.17460,1.95290,-0.04608,-1.64242,-2.11279,-2.21052
1.84367,1.97838,-0.03720,-2.04853,-2.48092,-2.12687
2.07797,1.95649,-0.29074,-2.08933,-2.28372,-2.08864
2.24627,1.77200,0.00272,-2.03180,-2.07786,-2.13721
2.44570,1.86519,0.03291,-1.95075,-2.00296,-2.06976
2.26741,1.86351,-0.13420,-2.16490,-2.34929,-2.14085
2.03933,1.68923,-0.58454,-1.99467,-2.44831,-2.08811
2.03472,1.43224,-0.61845,-2.15297,-2.39750,-2.19268
2.34626,1.48829,-0.34657,-2.06933,-2.11950,-2.07423
2.12574,1.66344,-0.51850,-1.84769,-2.25569,-1.71980
2.07878,1.13447,-0.69414,-2.16916,-2.20480,-2.05668
1.83868,1.28967,-0.93391,-2.51605,-2.48230,-1.84486
1.68839,1.31899,-0.73929,-2.24885,-2.33170,-1.82026
2.13262,1.25519,-0.54267,-2.23426,-2.28571,-1.38682
2.05965,1.60502,-0.60811,-2.28470,-2.13768,-1.11876
2.21088,1.48775,-0.62581,-2.49113,-2.00542,-1.15531
1.94926,1.27189,-0.80984,-2.85712,-2.09599,-1.09745
1.92650,1.10935,-1.09936,-2.63411,-1.77188,-1.20707
2.52926,1.24740,-0.98261,-2.67670,-1.63814,-0.62847
2.50737,1.32155,-1.13994,-2.41487,-1.44750,-0.62886
2.58373,1.02955,-1.30514,-2.24321,-1.42390,-0.45779
2.43783,0.97900,-1.55197,-2.53551,-1.41236,-0.63293
2.37394,0.62024,-1.69423,-2.77405,-1.34416,-0.74058
2.27604,0.66712,-1.79679,-2.59225,-1.21537,-0.34835
2.67608,0.83220,-1.77136,-2.70446,-0.95197,-0.20325
2.43433,0.57529,-1.95878,-2.82489,-0.86298,-0.01653
2.28495,0.51802,-2.24568,-2.92242,-1.02823,0.01747
2.31679,0.19372,-2.44664,-2.94142,-1.15101,0.03803
2.30280,0.24572,-2.23931,-2.87471,-0.76202,0.18292
2.47142,0.26650,-2.25967,-2.79481,-0.58136,0.29439
2.46690,0.02478,-2.61049,-2.69585,-0.49153,0.61290
2.21324,-0.20509,-2.66771,-2.83094,-0.40684,0.37336
1.95647,-0.53633,-2.90935,-2.87004,-0.36439,0.37861
1.95718,-0.71310,-2.69374,-2.60625,-0.16485,0.42292
1.80002,-0.53665,-2.81951,-2.64424,0.20380,0.73250
1.88025,-0.91381,-3.10652,-2.51108,-0.08043,0.78381
1.59931,-1.39524,-3.26552,-2.85829,-0.21122,0.43210
1.13316,-1.33960,-2.99318,-2.89163,-0.11878,0.61389
1.22939,-1.44794,-2.83716,-2.57349,-0.00605,0.87935
1.41861,-1.28309,-2.64681,-2.41199,0.52955,0.93956
1.24363,-1.37116,-2.60696,-2.23363,0.39196,1.23168
1.04529,-1.34702,-3.11700,-2.39985,0.43911,1.04015
0.71322,-1.73566,-3.10708,-2.25875,0.50038,0.98187
0.79722,-1.77442,-3.19591,-1.83581,0.75463,1.05064
0.77855,-1.67638,-2.89020,-1.56359,1.06827,1.42031
0.78814,-1.44776,-2.73775,-1.36337,0.97998,1.49398
0.56879,-2.06168,-2.83603,-1.28155,0.92965,0.99677
0.44836,-2.22067,-3.32838,-1.31416,0.69813,1.07993
0.21991,-2.41139,-2.99109,-1.32406,0.95396,0.93266
0.28523,-2.29483,-2.75504,-1.09514,1.06349,1.05847
0.21270,-2.28088,-2.61107,-0.97283,1.11531,1.16728
-0.19510,-2.19216,-2.80465,-0.79610,0.85444,1.37812
-0.13596,-2.62944,-2.93285,-1.13296,0.71433,1.12041
-0.32103,-2.41552,-2.72072,-0.99538,0.77043,1.15669
-0.48668,-2.23853,-2.59842,-0.95360,1.09499,1.40603
-0.35128,-2.14133,-2.52555,-0.49554,1.06683,1.72132
-0.45737,-2.49740,-2.30270,-0.47078,1.19587,1.58011
-0.46733,-2.44148,-2.53797,-0.58720,1.09401,1.52064
-0.70883,-2.75063,-2.46341,-0.55594,0.99650,1.72760
-0.73265,-2.53799,-2.36333,-0.24776,1.47068,1.60505
-0.53918,-2.61470,-2.26944,-0.11718,1.25627,1.88129
-0.89276,-2.73879,-2.14183,-0.31424,1.21771,2.02669
-1.08537,-2.71217,-2.29709,-0.44606,1.24723,1.82343
-1.16387,-2.73995,-2.29836,-0.60274,1.50435,2.07289
-1.18913,-2.42072,-2.07648,-0.21649,1.42345,2.27211
-1.14883,-2.38998,-1.70519,0.02447,1.66775,2.43698
-1.10716,-2.20078,-1.81456,0.02396,1.84631,2.28833
-1.17239,-2.42285,-1.82423,-0.09220,1.61318,2.21945
-1.16459,-2.44307,-1.87922,-0.04652,2.06636,2.16216
-0.98916,-2.57310,-1.89331,0.21494,2.04096,2.54594
-0.88929,-2.43690,-1.67268,0.26948,2.52342,2.57689
-1.07370,-2.33445,-1.61497,0.39056,2.49036,2.74070
-1.47894,-2.73989,-1.94191,0.58737,2.21300,2.37106
-1.62484,-2.69251,-2.02345,0.35171,2.06821,2.32532
-1.65904,-2.97575,-2.08873,0.41608,2.16069,2.07208
-1.36259,-2.85598,-1.69604,0.95010,2.38390,2.41902
-1.72117,-2.58580,-1.56680,0.79045,2.31549,2.47626
-1.74346,-2.75359,-1.46621,0.62226,2.26551,2.17347
-2.10708,-2.86022,-1.71187,0.93191,2.29706,1.94982
-2.01537,-2.70696,-1.49470,0.74800,2.43619,2.03277
-2.08747,-2.61744,-1.23515,1.14867,2.44843,2.08285
-1.85076,-2.66313,-1.14399,1.36691,2.61301,2.23484
-2.05117,-2.70796,-1.40274,1.27866,2.47923,2.11993
-2.14363,-2.83403,-1.12502,1.51217,2.44272,1.90678
-2.18261,-2.96799,-0.91815,1.55826,2.52160,1.74180
-2.36911,-2.96383,-0.69976,1.82541,2.27623,1.93320
-2.41643,-2.90377,-0.53156,1.87649,2.11019,1.71679
-2.93010,-3.01220,-0.66481,1.85145,2.15708,1.60873
-3.16915,-3.14980,-0.76533,1.90797,1.98603,1.37819
-2.82798,-2.72703,-0.35763,2.04043,1.88655,1.20052
-2.68428,-2.28284,0.26518,2.23174,2.08739,1.54519
-3.03289,-2.44927,0.54476,2.41781,2.18939,1.67785
-2.88224,-2.07888,0.19675,2.08892,1.83579,1.39954
-3.12555,-2.34803,0.17293,1.91580,1.80764,1.21002
-2.99288,-2.14207,0.34048,2.09551,1.83855,1.18912
-2.63365,-1.97242,0.62892,2.56755,1.89873,1.34631
-2.67448,-1.66984,0.80102,2.65595,1.70382,1.39394
-2.85666,-1.55786,0.74432,2.83289,1.54402,1.04039
-2.98663,-1.93902,0.85094,2.57038,1.20019,0.77044
-2.80160,-1.49560,0.68417,2.47717,1.14485,0.51105
-2.86268,-1.51669,1.01982,2.60805,1.11558,0.47090
-2.47502,-1.15107,1.26248,2.94538,1.26144,0.55416
-2.63836,-0.88935,1.43248,2.84918,1.05900,0.74492
-2.81893,-1.06682,1.53171,2.28451,0.80701,0.47100
-2.60357,-0.84838,1.62638,2.16555,0.63887,0.28567
-2.43288,-0.69309,1.64886,2.42000,0.85605,0.46989
-2.22850,-0.31375,1.70335,2.55912,0.76744,0.53930
-2.25971,-0.47705,1.73019,2.40905,0.88940,0.51091
-2.18653,-0.58144,1.79209,2.26664,0.56931,0.39199
